year,month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium,CPI
2016,2016-02,2,Category C,165,160,239,45001,98.436
2016,2016-02,2,Category D,362,361,454,6353,98.436
2016,2016-02,2,Category E,456,450,873,45009,98.436
2016,2016-03,1,Category A,2033,1957,3518,45000,98.436
2016,2016-03,1,Category B,1209,1200,2706,47604,98.436
2016,2016-03,1,Category C,162,160,259,48890,98.436
2016,2016-03,1,Category D,357,356,430,6503,98.436
2016,2016-03,1,Category E,449,312,951,48002,98.436
2016,2016-03,2,Category A,2053,2020,3836,45504,98.436
2016,2016-03,2,Category B,1220,1218,2491,46502,98.436
2016,2016-03,2,Category C,167,166,226,46502,98.436
2016,2016-03,2,Category D,357,356,429,6589,98.436
2016,2016-03,2,Category E,452,445,912,46667,98.436
2016,2016-04,1,Category A,2105,2103,3719,46009,98.436
2016,2016-04,1,Category B,1218,1218,2247,47000,98.436
2016,2016-04,1,Category C,164,161,235,44213,98.436
2016,2016-04,1,Category D,357,356,455,6503,98.436
2016,2016-04,1,Category E,583,346,1397,47510,98.436
2016,2016-04,2,Category A,2062,2061,3327,47300,98.436
2016,2016-04,2,Category B,1211,1136,2364,49602,98.436
2016,2016-04,2,Category C,163,162,241,43002,98.436
2016,2016-04,2,Category D,357,341,437,6501,98.436
2016,2016-04,2,Category E,453,433,834,49501,98.436
2016,2016-05,1,Category A,2218,2217,3446,47889,98.436
2016,2016-05,1,Category B,1462,1454,2435,51010,98.436
2016,2016-05,1,Category C,232,232,324,42302,98.436
2016,2016-05,1,Category D,399,389,519,6302,98.436
2016,2016-05,1,Category E,750,728,1380,49000,98.436
2016,2016-05,2,Category A,2217,2182,3227,47020,98.436
2016,2016-05,2,Category B,1537,1536,2322,49156,98.436
2016,2016-05,2,Category C,229,229,355,43002,98.436
2016,2016-05,2,Category D,414,389,500,6303,98.436
2016,2016-05,2,Category E,534,510,815,49700,98.436
2016,2016-06,1,Category A,2218,2213,4545,53694,98.436
2016,2016-06,1,Category B,1470,1463,3436,56000,98.436
2016,2016-06,1,Category C,228,219,347,46434,98.436
2016,2016-06,1,Category D,407,395,529,6302,98.436
2016,2016-06,1,Category E,536,533,860,55100,98.436
2016,2016-06,2,Category A,2252,2197,3957,55200,98.436
2016,2016-06,2,Category B,1463,1462,2914,57010,98.436
2016,2016-06,2,Category C,228,226,342,48002,98.436
2016,2016-06,2,Category D,422,389,495,6303,98.436
2016,2016-06,2,Category E,538,531,1009,57390,98.436
2016,2016-07,1,Category A,2222,2212,3194,52301,98.436
2016,2016-07,1,Category B,1469,1469,2547,56089,98.436
2016,2016-07,1,Category C,237,235,310,47889,98.436
2016,2016-07,1,Category D,409,365,525,6012,98.436
2016,2016-07,1,Category E,517,517,750,56002,98.436
2016,2016-07,2,Category A,2272,2246,3195,53000,98.436
2016,2016-07,2,Category B,1463,1463,2439,57508,98.436
2016,2016-07,2,Category C,230,225,344,49890,98.436
2016,2016-07,2,Category D,430,424,586,6302,98.436
2016,2016-07,2,Category E,521,500,821,57501,98.436
2016,2016-08,1,Category A,2018,1959,2712,52503,98.436
2016,2016-08,1,Category B,1336,1300,2156,57903,98.436
2016,2016-08,1,Category C,177,177,245,48302,98.436
2016,2016-08,1,Category D,403,400,558,6206,98.436
2016,2016-08,1,Category E,429,400,610,58201,98.436
2016,2016-08,2,Category A,2034,2034,2803,53334,98.436
2016,2016-08,2,Category B,1336,1334,2088,56500,98.436
2016,2016-08,2,Category C,180,178,236,48001,98.436
2016,2016-08,2,Category D,365,321,541,6352,98.436
2016,2016-08,2,Category E,450,450,618,56956,98.436
2016,2016-09,1,Category A,2067,2011,2739,51506,98.436
2016,2016-09,1,Category B,1372,1358,2183,57002,98.436
2016,2016-09,1,Category C,175,175,260,49801,98.436
2016,2016-09,1,Category D,362,334,521,6452,98.436
2016,2016-09,1,Category E,458,450,723,1,98.436
2016,2016-09,2,Category A,2008,1993,2610,50000,98.436
2016,2016-09,2,Category B,1338,1334,2017,55501,98.436
2016,2016-09,2,Category C,177,165,237,49890,98.436
2016,2016-09,2,Category D,403,402,478,6501,98.436
2016,2016-09,2,Category E,429,429,592,55201,98.436
2016,2016-10,1,Category A,2064,1979,2938,51507,98.436
2016,2016-10,1,Category B,1350,1246,1785,53001,98.436
2016,2016-10,1,Category C,176,172,232,48702,98.436
2016,2016-10,1,Category D,387,359,498,6353,98.436
2016,2016-10,1,Category E,436,435,642,54200,98.436
2016,2016-10,2,Category A,2023,2021,2584,50991,98.436
2016,2016-10,2,Category B,1340,1329,1768,56410,98.436
2016,2016-10,2,Category C,188,187,252,45589,98.436
2016,2016-10,2,Category D,360,356,430,6354,98.436
2016,2016-10,2,Category E,429,428,678,56340,98.436
2016,2016-11,1,Category A,1929,1929,2800,52668,98.436
2016,2016-11,1,Category B,1347,1345,2012,56206,98.436
2016,2016-11,1,Category C,185,181,283,48001,98.436
2016,2016-11,1,Category D,399,396,457,6311,98.436
2016,2016-11,1,Category E,401,388,641,56000,98.436
2016,2016-11,2,Category A,1846,1846,2536,50951,98.436
2016,2016-11,2,Category B,1254,1253,1708,53001,98.436
2016,2016-11,2,Category C,182,181,286,49002,98.436
2016,2016-11,2,Category D,375,331,520,6212,98.436
2016,2016-11,2,Category E,401,397,531,54901,98.436
2016,2016-12,1,Category A,1844,1812,2335,48000,98.436
2016,2016-12,1,Category B,1245,1237,1494,46229,98.436
2016,2016-12,1,Category C,185,183,262,51209,98.436
2016,2016-12,1,Category D,374,368,436,6113,98.436
2016,2016-12,1,Category E,413,411,643,50010,98.436
2016,2016-12,2,Category A,1844,1843,2554,49751,98.436
2016,2016-12,2,Category B,1244,1242,2052,51109,98.436
2016,2016-12,2,Category C,182,176,274,49500,98.436
2016,2016-12,2,Category D,415,408,484,6101,98.436
2016,2016-12,2,Category E,404,404,668,50389,98.436
2017,2017-01,1,Category A,1877,1870,2260,50101,99.004
2017,2017-01,1,Category B,1252,1243,1835,53106,99.004
2017,2017-01,1,Category C,183,180,271,46302,99.004
2017,2017-01,1,Category D,376,374,438,6053,99.004
2017,2017-01,1,Category E,401,394,648,53001,99.004
2017,2017-01,2,Category A,1846,1766,2437,50889,99.004
2017,2017-01,2,Category B,1246,1226,1967,52807,99.004
2017,2017-01,2,Category C,186,173,254,47001,99.004
2017,2017-01,2,Category D,377,331,412,6052,99.004
2017,2017-01,2,Category E,400,381,662,52600,99.004
2017,2017-02,1,Category A,2060,2051,2691,48401,99.004
2017,2017-02,1,Category B,1366,1352,1783,48209,99.004
2017,2017-02,1,Category C,164,155,268,48901,99.004
2017,2017-02,1,Category D,348,326,534,6412,99.004
2017,2017-02,1,Category E,488,488,805,48556,99.004
2017,2017-02,2,Category A,2133,2089,2926,49430,99.004
2017,2017-02,2,Category B,1377,1377,2126,50621,99.004
2017,2017-02,2,Category C,174,171,249,49810,99.004
2017,2017-02,2,Category D,392,384,753,6801,99.004
2017,2017-02,2,Category E,500,483,800,51000,99.004
2017,2017-03,1,Category A,2061,2045,3190,50789,99.004
2017,2017-03,1,Category B,1371,1368,2298,53300,99.004
2017,2017-03,1,Category C,170,170,216,49002,99.004
2017,2017-03,1,Category D,368,359,546,7483,99.004
2017,2017-03,1,Category E,482,478,763,53001,99.004
2017,2017-03,2,Category A,2096,2096,2961,51765,99.004
2017,2017-03,2,Category B,1357,1345,2081,54000,99.004
2017,2017-03,2,Category C,164,163,251,47036,99.004
2017,2017-03,2,Category D,355,354,453,8081,99.004
2017,2017-03,2,Category E,499,499,783,54501,99.004
2017,2017-04,1,Category A,2068,2061,2486,52000,99.004
2017,2017-04,1,Category B,1360,1360,1970,54405,99.004
2017,2017-04,1,Category C,162,162,351,45906,99.004
2017,2017-04,1,Category D,355,354,482,7589,99.004
2017,2017-04,1,Category E,486,485,748,54556,99.004
2017,2017-04,2,Category A,2052,2030,2442,51600,99.004
2017,2017-04,2,Category B,1369,1365,2000,54406,99.004
2017,2017-04,2,Category C,163,162,509,26501,99.004
2017,2017-04,2,Category D,347,325,512,6712,99.004
2017,2017-04,2,Category E,482,477,712,54616,99.004
2017,2017-05,1,Category A,1905,1905,2240,51106,99.004
2017,2017-05,1,Category B,1320,1316,1996,55414,99.004
2017,2017-05,1,Category C,1084,1078,2586,26029,99.004
2017,2017-05,1,Category D,455,433,567,6301,99.004
2017,2017-05,1,Category E,529,528,755,55000,99.004
2017,2017-05,2,Category A,1920,1913,2601,46489,99.004
2017,2017-05,2,Category B,1325,1325,1725,53001,99.004
2017,2017-05,2,Category C,1085,1084,2492,30600,99.004
2017,2017-05,2,Category D,476,470,602,6101,99.004
2017,2017-05,2,Category E,532,506,731,52000,99.004
2017,2017-06,1,Category A,1898,1893,2245,45201,99.004
2017,2017-06,1,Category B,1325,1324,1582,50110,99.004
2017,2017-06,1,Category C,1091,1087,2309,38501,99.004
2017,2017-06,1,Category D,476,455,743,6101,99.004
2017,2017-06,1,Category E,528,528,878,50526,99.004
2017,2017-06,2,Category A,1906,1898,2302,42801,99.004
2017,2017-06,2,Category B,1321,1320,1651,47501,99.004
2017,2017-06,2,Category C,1086,1085,2125,36879,99.004
2017,2017-06,2,Category D,459,360,931,6001,99.004
2017,2017-06,2,Category E,553,519,925,48001,99.004
2017,2017-07,1,Category A,1904,1902,2296,42801,99.004
2017,2017-07,1,Category B,1322,1321,1910,49802,99.004
2017,2017-07,1,Category C,1088,1078,2189,40212,99.004
2017,2017-07,1,Category D,474,377,819,6001,99.004
2017,2017-07,1,Category E,528,521,872,49899,99.004
2017,2017-07,2,Category A,1907,1905,2389,44002,99.004
2017,2017-07,2,Category B,1322,1314,1784,50001,99.004
2017,2017-07,2,Category C,1085,1084,1943,42809,99.004
2017,2017-07,2,Category D,552,424,1044,5851,99.004
2017,2017-07,2,Category E,562,516,941,50101,99.004
2017,2017-08,1,Category A,1817,1812,2403,46778,99.004
2017,2017-08,1,Category B,1286,1281,1978,53711,99.004
2017,2017-08,1,Category C,454,445,742,42801,99.004
2017,2017-08,1,Category D,574,508,879,5701,99.004
2017,2017-08,1,Category E,547,545,822,52751,99.004
2017,2017-08,2,Category A,1817,1817,2148,42900,99.004
2017,2017-08,2,Category B,1293,1290,1683,51000,99.004
2017,2017-08,2,Category C,445,436,836,42004,99.004
2017,2017-08,2,Category D,605,588,1069,3512,99.004
2017,2017-08,2,Category E,586,562,781,50000,99.004
2017,2017-09,1,Category A,1820,1806,2195,36001,99.004
2017,2017-09,1,Category B,1290,1290,1704,49000,99.004
2017,2017-09,1,Category C,453,406,695,43002,99.004
2017,2017-09,1,Category D,543,535,871,5402,99.004
2017,2017-09,1,Category E,543,543,805,48005,99.004
2017,2017-09,2,Category A,1815,1815,3469,42902,99.004
2017,2017-09,2,Category B,1288,1288,1859,49189,99.004
2017,2017-09,2,Category C,453,453,706,46890,99.004
2017,2017-09,2,Category D,494,493,727,5501,99.004
2017,2017-09,2,Category E,565,563,905,49012,99.004
2017,2017-10,1,Category A,1829,1827,2808,41761,99.004
2017,2017-10,1,Category B,1285,1284,1646,48109,99.004
2017,2017-10,1,Category C,492,492,723,48902,99.004
2017,2017-10,1,Category D,485,484,721,5010,99.004
2017,2017-10,1,Category E,540,528,869,49000,99.004
2017,2017-10,2,Category A,1815,1809,2391,41617,99.004
2017,2017-10,2,Category B,1285,1277,1718,49996,99.004
2017,2017-10,2,Category C,445,443,611,51890,99.004
2017,2017-10,2,Category D,478,449,687,4903,99.004
2017,2017-10,2,Category E,542,539,809,52000,99.004
2017,2017-11,1,Category A,1683,1683,3430,47112,99.004
2017,2017-11,1,Category B,1376,1375,2515,57414,99.004
2017,2017-11,1,Category C,242,200,375,58036,99.004
2017,2017-11,1,Category D,509,502,683,5502,99.004
2017,2017-11,1,Category E,524,495,867,57000,99.004
2017,2017-11,2,Category A,1686,1679,2721,46791,99.004
2017,2017-11,2,Category B,1383,1383,2173,57390,99.004
2017,2017-11,2,Category C,244,241,356,57701,99.004
2017,2017-11,2,Category D,538,533,708,5992,99.004
2017,2017-11,2,Category E,516,498,844,57501,99.004
2017,2017-12,1,Category A,1680,1667,2158,42339,99.004
2017,2017-12,1,Category B,1375,1375,1805,53711,99.004
2017,2017-12,1,Category C,285,279,454,42000,99.004
2017,2017-12,1,Category D,516,500,791,6552,99.004
2017,2017-12,1,Category E,542,537,831,54334,99.004
2017,2017-12,2,Category A,1687,1654,1970,38200,99.004
2017,2017-12,2,Category B,1374,1367,1634,47002,99.004
2017,2017-12,2,Category C,246,232,482,45112,99.004
2017,2017-12,2,Category D,514,458,743,7501,99.004
2017,2017-12,2,Category E,531,529,1003,48011,99.004
2018,2018-01,1,Category A,1693,1693,2264,41400,99.438
2018,2018-01,1,Category B,1374,1368,1811,45289,99.438
2018,2018-01,1,Category C,249,247,458,40101,99.438
2018,2018-01,1,Category D,525,413,919,7701,99.438
2018,2018-01,1,Category E,518,518,923,47390,99.438
2018,2018-01,2,Category A,1713,1708,1938,36890,99.438
2018,2018-01,2,Category B,1381,1380,1654,42661,99.438
2018,2018-01,2,Category C,257,247,399,39000,99.438
2018,2018-01,2,Category D,565,500,786,8001,99.438
2018,2018-01,2,Category E,515,495,817,44000,99.438
2018,2018-02,1,Category A,1557,1534,2389,40000,99.438
2018,2018-02,1,Category B,1396,1396,1831,42322,99.438
2018,2018-02,1,Category C,249,249,486,38303,99.438
2018,2018-02,1,Category D,624,608,933,8451,99.438
2018,2018-02,1,Category E,566,562,790,39903,99.438
2018,2018-02,2,Category A,1562,1561,2073,36810,99.438
2018,2018-02,2,Category B,1391,1379,1744,39000,99.438
2018,2018-02,2,Category C,257,256,489,36859,99.438
2018,2018-02,2,Category D,577,568,1073,7667,99.438
2018,2018-02,2,Category E,586,581,1216,38801,99.438
2018,2018-03,1,Category A,1580,1572,2405,38830,99.438
2018,2018-03,1,Category B,1390,1390,1731,39001,99.438
2018,2018-03,1,Category C,247,202,446,36003,99.438
2018,2018-03,1,Category D,528,525,885,8009,99.438
2018,2018-03,1,Category E,571,525,967,39000,99.438
2018,2018-03,2,Category A,1559,1551,2117,38000,99.438
2018,2018-03,2,Category B,1402,1374,1639,37010,99.438
2018,2018-03,2,Category C,247,234,378,35001,99.438
2018,2018-03,2,Category D,522,517,803,7602,99.438
2018,2018-03,2,Category E,571,564,977,38000,99.438
2018,2018-04,1,Category A,1566,1564,1888,37000,99.438
2018,2018-04,1,Category B,1389,1388,1689,37605,99.438
2018,2018-04,1,Category C,292,290,500,34001,99.438
2018,2018-04,1,Category D,516,483,953,7114,99.438
2018,2018-04,1,Category E,612,604,967,38039,99.438
2018,2018-04,2,Category A,1566,1566,2027,38510,99.438
2018,2018-04,2,Category B,1417,1414,1919,37330,99.438
2018,2018-04,2,Category C,260,181,461,34202,99.438
2018,2018-04,2,Category D,518,515,727,7115,99.438
2018,2018-04,2,Category E,573,571,1027,38389,99.438
2018,2018-05,1,Category A,1435,1428,1836,38941,99.438
2018,2018-05,1,Category B,1280,1267,2155,38501,99.438
2018,2018-05,1,Category C,308,188,611,33190,99.438
2018,2018-05,1,Category D,560,515,1171,7204,99.438
2018,2018-05,1,Category E,565,562,1008,38600,99.438
2018,2018-05,2,Category A,1434,1422,1805,38001,99.438
2018,2018-05,2,Category B,1283,1247,1915,37989,99.438
2018,2018-05,2,Category C,385,382,786,29901,99.438
2018,2018-05,2,Category D,529,529,898,7115,99.438
2018,2018-05,2,Category E,558,533,836,38700,99.438
2018,2018-06,1,Category A,1441,1440,1696,36426,99.438
2018,2018-06,1,Category B,1293,1285,1727,36000,99.438
2018,2018-06,1,Category C,425,417,685,29902,99.438
2018,2018-06,1,Category D,572,487,828,7001,99.438
2018,2018-06,1,Category E,559,525,927,37000,99.438
2018,2018-06,2,Category A,1446,1437,1818,34110,99.438
2018,2018-06,2,Category B,1316,1311,1729,33900,99.438
2018,2018-06,2,Category C,308,293,548,32001,99.438
2018,2018-06,2,Category D,527,517,771,6889,99.438
2018,2018-06,2,Category E,581,580,868,34400,99.438
2018,2018-07,1,Category A,1435,1427,1626,25000,99.438
2018,2018-07,1,Category B,1288,1288,1637,31000,99.438
2018,2018-07,1,Category C,313,272,535,31092,99.438
2018,2018-07,1,Category D,612,587,807,6514,99.438
2018,2018-07,1,Category E,591,582,975,31001,99.438
2018,2018-07,2,Category A,1443,1412,3100,32699,99.438
2018,2018-07,2,Category B,1285,1278,1919,32551,99.438
2018,2018-07,2,Category C,320,249,538,30889,99.438
2018,2018-07,2,Category D,537,533,772,6189,99.438
2018,2018-07,2,Category E,558,558,1082,32809,99.438
2018,2018-08,1,Category A,1672,1672,3633,33798,99.438
2018,2018-08,1,Category B,1265,1256,2132,34381,99.438
2018,2018-08,1,Category C,379,330,549,30389,99.438
2018,2018-08,1,Category D,845,791,1208,5514,99.438
2018,2018-08,1,Category E,536,524,896,33420,99.438
2018,2018-08,2,Category A,1695,1695,2948,31997,99.438
2018,2018-08,2,Category B,1272,1259,2031,32429,99.438
2018,2018-08,2,Category C,409,204,635,29902,99.438
2018,2018-08,2,Category D,824,823,1176,4889,99.438
2018,2018-08,2,Category E,527,525,927,32311,99.438
2018,2018-09,1,Category A,1664,1661,2488,30209,99.438
2018,2018-09,1,Category B,1274,1268,1959,32001,99.438
2018,2018-09,1,Category C,386,381,612,27001,99.438
2018,2018-09,1,Category D,874,867,1213,4390,99.438
2018,2018-09,1,Category E,540,506,1006,31801,99.438
2018,2018-09,2,Category A,1664,1655,2059,28000,99.438
2018,2018-09,2,Category B,1278,1269,1859,31307,99.438
2018,2018-09,2,Category C,542,529,921,27104,99.438
2018,2018-09,2,Category D,821,821,1098,4214,99.438
2018,2018-09,2,Category E,530,519,928,32000,99.438
2018,2018-10,1,Category A,1668,1665,2059,28457,99.438
2018,2018-10,1,Category B,1271,1241,1886,31301,99.438
2018,2018-10,1,Category C,342,340,522,28501,99.438
2018,2018-10,1,Category D,827,809,1140,4109,99.438
2018,2018-10,1,Category E,561,543,1066,32552,99.438
2018,2018-10,2,Category A,1674,1672,1811,25556,99.438
2018,2018-10,2,Category B,1273,1267,1856,31302,99.438
2018,2018-10,2,Category C,350,349,470,29501,99.438
2018,2018-10,2,Category D,819,819,1201,3951,99.438
2018,2018-10,2,Category E,539,527,779,32900,99.438
2018,2018-11,1,Category A,1819,1757,1616,28199,99.438
2018,2018-11,1,Category B,1265,1262,2142,32302,99.438
2018,2018-11,1,Category C,332,332,460,29501,99.438
2018,2018-11,1,Category D,1121,1104,1543,2509,99.438
2018,2018-11,1,Category E,557,544,862,32000,99.438
2018,2018-11,2,Category A,1818,1744,2231,25000,99.438
2018,2018-11,2,Category B,1241,1234,1786,31101,99.438
2018,2018-11,2,Category C,331,327,580,27509,99.438
2018,2018-11,2,Category D,1103,1093,1423,2989,99.438
2018,2018-11,2,Category E,552,546,930,30959,99.438
2018,2018-12,1,Category A,1878,1878,2177,23568,99.438
2018,2018-12,1,Category B,1239,1230,1780,31001,99.438
2018,2018-12,1,Category C,329,328,489,27009,99.438
2018,2018-12,1,Category D,1121,1113,1483,3399,99.438
2018,2018-12,1,Category E,552,546,1021,30851,99.438
2018,2018-12,2,Category A,1890,1887,2729,25501,99.438
2018,2018-12,2,Category B,1243,1235,1804,31001,99.438
2018,2018-12,2,Category C,333,318,503,27001,99.438
2018,2018-12,2,Category D,1114,1114,1375,3789,99.438
2018,2018-12,2,Category E,545,545,778,31809,99.438
2019,2019-01,1,Category A,1815,1804,2707,25920,100
2019,2019-01,1,Category B,1245,1242,1818,32200,100
2019,2019-01,1,Category C,330,308,472,27002,100
2019,2019-01,1,Category D,1112,1103,1396,3610,100
2019,2019-01,1,Category E,546,540,776,32909,100
2019,2019-01,2,Category A,1818,1818,2864,26170,100
2019,2019-01,2,Category B,1244,1230,2119,33989,100
2019,2019-01,2,Category C,344,342,537,26230,100
2019,2019-01,2,Category D,1104,1104,1473,2889,100
2019,2019-01,2,Category E,540,530,797,33689,100
2019,2019-02,1,Category A,1662,1653,2371,25689,100
2019,2019-02,1,Category B,1202,1169,1937,34509,100
2019,2019-02,1,Category C,326,324,466,26378,100
2019,2019-02,1,Category D,834,834,1164,3709,100
2019,2019-02,1,Category E,403,392,545,35310,100
2019,2019-02,2,Category A,1650,1650,2261,26301,100
2019,2019-02,2,Category B,1214,1213,1993,35403,100
2019,2019-02,2,Category C,306,306,433,26914,100
2019,2019-02,2,Category D,826,817,1100,3689,100
2019,2019-02,2,Category E,407,407,658,36667,100
